                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.62163,                0.31752,                0.30495,                0.76276,                0.99411,                0.98564,                0.99215,                0.80712,                0.98973,                0.98092,                0.98815,                0.74024,                0.58002,                0.31616,                 0.3012,                0.71754,             0.00069002,             0.00069002,             0.00069002
                     75,                0.61341,                  0.311,                0.29961,                0.75957,                0.99686,                0.98434,                0.99293,                0.80867,                0.99311,                0.98102,                0.98994,                0.74149,                0.55324,                0.31938,                0.28399,                0.71583,             0.00068702,             0.00068702,             0.00068702
                     76,                0.60808,                 0.3097,                0.29772,                0.75656,                0.99523,                0.98847,                 0.9933,                0.80672,                0.98849,                0.98166,                0.98914,                0.73848,                0.56947,                0.31601,                0.29598,                0.71722,             0.00068402,             0.00068402,             0.00068402
                     77,                 0.6082,                0.29707,                 0.2967,                0.75784,                0.99279,                0.98947,                0.99316,                0.80584,                0.98663,                0.98317,                0.98796,                0.74242,                0.56081,                0.30934,                0.28833,                0.71533,             0.00068102,             0.00068102,             0.00068102
                     78,                0.61463,                0.31807,                0.29921,                0.76027,                0.98697,                0.98858,                0.99169,                0.80286,                0.98146,                0.98379,                0.98524,                0.73357,                0.57801,                0.32203,                0.29136,                0.71441,             0.00067802,             0.00067802,             0.00067802
                     79,                0.62074,                 0.3071,                 0.3037,                0.75877,                0.99236,                 0.9858,                0.99167,                0.80925,                0.98704,                 0.9812,                0.98893,                0.74066,                0.56412,                0.30795,                0.29495,                0.71676,             0.00067502,             0.00067502,             0.00067502
                     80,                 0.6163,                0.31003,                0.29844,                0.75829,                0.98828,                0.98761,                0.99153,                0.80711,                0.98412,                0.98327,                0.98697,                0.73475,                0.56825,                0.31987,                0.29004,                0.71769,             0.00067202,             0.00067202,             0.00067202
                     81,                0.60512,                 0.3053,                0.29243,                0.75551,                0.99472,                0.98467,                0.99293,                0.80952,                0.99108,                0.98101,                0.99002,                0.74586,                0.56098,                0.31176,                0.28837,                0.71376,             0.00066902,             0.00066902,             0.00066902
                     82,                0.59946,                0.29223,                0.29194,                0.75733,                0.99413,                0.98809,                0.99329,                0.81166,                0.98999,                0.98391,                0.98898,                0.74189,                0.54955,                0.30564,                0.28285,                0.71614,             0.00066602,             0.00066602,             0.00066602
                     83,                0.60116,                0.29212,                0.29146,                0.75681,                0.98945,                0.98626,                0.99153,                0.81025,                0.98628,                 0.9831,                 0.9905,                0.74104,                0.55728,                0.30831,                0.29253,                0.71374,             0.00066302,             0.00066302,             0.00066302
                     84,                  0.601,                0.28873,                0.29276,                0.75662,                0.99453,                0.98695,                0.99303,                0.81092,                0.99092,                0.98329,                0.99021,                0.74982,                0.54813,                0.30241,                0.28246,                0.71448,             0.00066002,             0.00066002,             0.00066002
                     85,                0.58577,                0.28916,                0.28766,                0.75409,                0.99258,                 0.9854,                0.99207,                  0.811,                0.98803,                0.98068,                0.98888,                0.74361,                0.54678,                0.30072,                 0.2855,                0.71268,             0.00065703,             0.00065703,             0.00065703
                     86,                0.60479,                 0.3095,                0.29498,                0.75925,                0.98966,                0.98897,                0.99194,                0.81075,                0.98504,                0.98429,                0.98612,                0.73792,                0.55352,                0.32133,                0.28201,                0.71396,             0.00065403,             0.00065403,             0.00065403
                     87,                0.60465,                0.30693,                 0.2934,                0.75922,                0.98703,                0.98809,                0.99173,                0.81163,                0.98176,                0.98223,                0.98706,                0.73834,                0.54914,                0.31857,                0.28116,                0.71364,             0.00065103,             0.00065103,             0.00065103
                     88,                0.59972,                0.29921,                0.28966,                0.75266,                 0.9914,                0.98512,                0.99232,                0.81411,                0.98322,                0.98097,                0.98811,                0.74499,                0.53266,                0.29843,                0.27247,                0.71026,             0.00064803,             0.00064803,             0.00064803
                     89,                0.58519,                0.28319,                0.28424,                0.75139,                0.99328,                0.98686,                0.99244,                0.81503,                0.98739,                0.98376,                0.98918,                0.75211,                0.53065,                0.28957,                0.27289,                 0.7105,             0.00064503,             0.00064503,             0.00064503
                     90,                0.58817,                0.27778,                0.28687,                0.75393,                0.99153,                0.98536,                 0.9924,                 0.8128,                0.98573,                0.97957,                0.98928,                0.74471,                0.54636,                0.29635,                0.27974,                0.71188,             0.00064203,             0.00064203,             0.00064203
                     91,                0.58658,                0.27956,                0.28559,                0.75526,                0.99288,                0.98688,                0.99214,                0.81189,                0.98711,                0.98116,                0.98787,                0.75752,                0.53513,                0.27702,                0.27342,                0.71104,             0.00063903,             0.00063903,             0.00063903
                     92,                0.58199,                0.27102,                0.28367,                0.75352,                0.99364,                0.98218,                 0.9922,                0.81238,                0.99004,                0.97998,                0.98954,                0.76174,                0.53766,                0.27242,                0.27255,                0.71051,             0.00063603,             0.00063603,             0.00063603
                     93,                0.58312,                0.27505,                0.28461,                0.75319,                0.99367,                0.98729,                0.99298,                0.81338,                0.98301,                  0.981,                0.98758,                0.75327,                0.52826,                0.27987,                0.27175,                 0.7117,             0.00063303,             0.00063303,             0.00063303
